# TMS Shipment Application Data Model

The tables in the TMS Shipment application include the following:

**SHIPMENT**

Below the table lists the attributes along with the data type, constraints, and domain values.

---

```
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Table Name   | Column Name                    | Business Description                                                        | Data Type      | Constraints           | Domain Values
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SHIPMENT     | ACCESSORIAL_COST               | Total accessorial charges applied to the shipment                           | DECIMAL(10,2)  | Nullable              | N/A
             | ACCESSORIAL_COST_TO_CARRIER    | Accessorial cost passed to the carrier                                      | DECIMAL(10,2)  | Nullable              | N/A
             | ACTUAL_COST                    | Actual total cost of the shipment                                           | DECIMAL(10,2)  | Nullable              | N/A
             | ACTUAL_COST_CURRENCY_CODE      | Currency code for the actual shipment cost                                  | VARCHAR(10)    | Nullable              | N/A
             | APPT_DOOR_SCHED_TYPE           | Appointment door scheduling type                                            | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_BROKER_CARRIER_CODE   | Code identifying the broker carrier assigned to the shipment                | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_BROKER_CARRIER_ID     | Unique identifier for the broker carrier assigned to the shipment           | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_CARRIER_CODE          | Code identifying the primary carrier assigned to the shipment               | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_CARRIER_ID            | Unique identifier for the primary carrier assigned to the shipment          | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_CM_SHIPMENT_ID        | Identifier for the carrier management shipment assignment                   | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_CUSTOMER_ID           | Identifier for the customer assigned to the shipment                        | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_EQUIPMENT_ID          | Identifier for the equipment assigned to the shipment                       | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_LANE_DETAIL_ID        | Identifier for the detail record of the assigned lane                       | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_LANE_ID               | Identifier for the lane assigned to the shipment                            | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_MOT_ID                | Identifier for the mode of transport assigned to the shipment               | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_SCNDR_CARRIER_CODE    | Code identifying the secondary carrier assigned to the shipment             | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_SCNDR_CARRIER_ID      | Unique identifier for the secondary carrier assigned to the shipment        | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_SERVICE_LEVEL_ID      | Identifier for the service level assigned to the shipment                   | VARCHAR(50)    | Nullable              | N/A
             | ASSIGNED_SHIP_VIA              | Ship-via method assigned to the shipment                                    | VARCHAR(50)    | Nullable              | N/A
             | AUTH_NBR                       | Authorization number associated with the shipment                           | VARCHAR(50)    | Nullable              | N/A
             | AVAILABLE_DTTM                 | Date and time when the shipment became available                            | DATETIME       | Nullable              | N/A
             | BASELINE_COST                  | Baseline cost used for cost comparison (removed from reporting)             | DECIMAL(10,2)  | Nullable              | N/A
             | BASELINE_COST_CURRENCY_CODE    | Currency code for the baseline shipment cost                                | VARCHAR(10)    | Nullable              | N/A
             | BILL_OF_LADING_NUMBER          | Bill of lading reference number for the shipment                            | VARCHAR(100)   | Nullable              | N/A
             | BILL_TO_ADDRESS                | Street address of the bill-to party                                         | VARCHAR(300)   | Nullable              | N/A
             | BILL_TO_CITY                   | City of the bill-to party                                                   | VARCHAR(100)   | Nullable              | N/A
             | BILL_TO_CODE                   | Code identifying the bill-to party                                          | VARCHAR(50)    | Nullable              | N/A
             | BILL_TO_COUNTRY_CODE           | Country code of the bill-to party                                           | VARCHAR(10)    | Nullable              | N/A
             | BILL_TO_NAME                   | Name of the bill-to party                                                   | VARCHAR(200)   | Nullable              | N/A
             | BILL_TO_PHONE_NUMBER           | Phone number of the bill-to party                                           | VARCHAR(50)    | Nullable              | N/A
             | BILL_TO_POSTAL_CODE            | Postal code of the bill-to party                                            | VARCHAR(20)    | Nullable              | N/A
             | BILL_TO_STATE_PROV             | State or province of the bill-to party                                      | VARCHAR(50)    | Nullable              | N/A
             | BILL_TO_TITLE                  | Title or salutation of the bill-to contact                                  | VARCHAR(50)    | Nullable              | N/A
             | BILLING_METHOD                 | Method used to bill the shipment                                             | VARCHAR(50)    | Nullable              | N/A
             | BK_ARRIVAL_DTTM                | Booking arrival date and time                                               | DATETIME       | Nullable              | N/A
             | BK_ARRIVAL_TZ                  | Timezone for the booking arrival date and time                              | VARCHAR(50)    | Nullable              | N/A
             | BK_CUTOFF_DTTM                 | Booking cutoff date and time                                                | DATETIME       | Nullable              | N/A
             | BK_CUTOFF_TZ                   | Timezone for the booking cutoff date and time                               | VARCHAR(50)    | Nullable              | N/A
             | BK_D_FACILITY_ALIAS_ID         | Alias identifier for the booking destination facility                       | VARCHAR(50)    | Nullable              | N/A
             | BK_D_FACILITY_ID               | Identifier for the booking destination facility                             | VARCHAR(50)    | Nullable              | N/A
             | BK_DEPARTURE_DTTM              | Booking departure date and time                                             | DATETIME       | Nullable              | N/A
             | BK_DEPARTURE_TZ                | Timezone for the booking departure date and time                            | VARCHAR(50)    | Nullable              | N/A
             | BK_FORWARDER_AIRWAY_BILL       | Forwarder airway bill number from booking                                   | VARCHAR(100)   | Nullable              | N/A
             | BK_MASTER_AIRWAY_BILL          | Master airway bill number from booking                                      | VARCHAR(100)   | Nullable              | N/A
             | BK_O_FACILITY_ALIAS_ID         | Alias identifier for the booking origin facility                            | VARCHAR(50)    | Nullable              | N/A
             | BK_O_FACILITY_ID               | Identifier for the booking origin facility                                  | VARCHAR(50)    | Nullable              | N/A
             | BK_PICKUP_DTTM                 | Booking pickup date and time                                                | DATETIME       | Nullable              | N/A
             | BK_PICKUP_TZ                   | Timezone for the booking pickup date and time                               | VARCHAR(50)    | Nullable              | N/A
             | BK_RESOURCE_NAME_EXTERNAL      | External resource name associated with the booking                          | VARCHAR(100)   | Nullable              | N/A
             | BK_RESOURCE_REF_EXTERNAL       | External resource reference associated with the booking                     | VARCHAR(100)   | Nullable              | N/A
             | BOOKING_ID                     | Unique identifier for the freight booking                                   | VARCHAR(50)    | Nullable              | N/A
             | BOOKING_REF_CARRIER            | Carrier-side reference number for the booking                               | VARCHAR(100)   | Nullable              | N/A
             | BOOKING_REF_SHIPPER            | Shipper-side reference number for the booking                               | VARCHAR(100)   | Nullable              | N/A
             | BROKER_CARRIER_ID              | Identifier for the broker carrier associated with the shipment              | VARCHAR(50)    | Nullable              | N/A
             | BROKER_REF                     | Broker reference number for the shipment                                    | VARCHAR(100)   | Nullable              | N/A
             | BUDG_CM_DISCOUNT               | Budget carrier management discount applied to the shipment                  | DECIMAL(10,2)  | Nullable              | N/A
             | BUDG_CURRENCY_CODE             | Currency code for the budget cost fields                                    | VARCHAR(10)    | Nullable              | N/A
             | BUDG_NORMALIZED_TOTAL_COST     | Normalized total budgeted cost (not used)                                   | DECIMAL(10,2)  | Nullable              | N/A
             | BUDG_TOTAL_COST                | Total budgeted cost for the shipment (not used)                             | DECIMAL(10,2)  | Nullable              | N/A
             | BUSINESS_PARTNER_ID            | Identifier for the business partner or vendor linked to the shipment        | VARCHAR(50)    | Nullable              | N/A
             | BUSINESS_PROCESS               | Business process category associated with the shipment                      | VARCHAR(100)   | Nullable              | N/A
             | CARRIER_CHARGE                 | Charge amount billed by the carrier                                         | DECIMAL(10,2)  | Nullable              | N/A
             | CFMF_STATUS                    | Status of the CFMF (carrier freight management flow) process                | VARCHAR(50)    | Nullable              | N/A
             | CM_DISCOUNT                    | Carrier management discount applied to the shipment                         | DECIMAL(10,2)  | Nullable              | N/A
             | CMID                           | Carrier management identifier for the shipment                              | VARCHAR(50)    | Nullable              | N/A
             | COD_AMOUNT                     | Cash on delivery amount for the shipment                                    | DECIMAL(10,2)  | Nullable              | N/A
             | COD_CURRENCY_CODE              | Currency code for the cash on delivery amount                               | VARCHAR(10)    | Nullable              | N/A
             | COMMODITY_CLASS                | Freight commodity class for rating purposes                                 | VARCHAR(50)    | Nullable              | N/A
             | COMMODITY_CODE_ID              | Identifier for the commodity code assigned to the shipment                  | VARCHAR(50)    | Nullable              | N/A
             | CONFIG_CYCLE_SEQ               | Configuration cycle sequence number for optimization processing             | INT            | Nullable              | N/A
             | CONS_ADDR_CODE                 | Consolidation address code associated with the shipment                     | VARCHAR(50)    | Nullable              | N/A
             | CONS_LOCN_ID                   | Consolidation location identifier                                           | VARCHAR(50)    | Nullable              | N/A
             | CONS_RUN_ID                    | Consolidation run identifier                                                | VARCHAR(50)    | Nullable              | N/A
             | CONTRACT_NUMBER                | Contract number governing the shipment pricing                              | VARCHAR(100)   | Nullable              | N/A
             | COST_BREAKUP                   | Detailed breakdown of shipment cost components                              | VARCHAR(500)   | Nullable              | N/A
             | CREATED_DTTM                   | Date and time when the shipment record was created                          | DATETIME       | Not Null              | N/A
             | CREATED_SOURCE                 | System or process that created the shipment record                          | VARCHAR(100)   | Not Null              | N/A
             | CREATED_SOURCE_TYPE            | Role type of the user or system that created the shipment                   | VARCHAR(100)   | Nullable              | N/A
             | CREATION_TYPE                  | Type of creation process used to generate the shipment                      | VARCHAR(50)    | Nullable              | N/A
             | CURRENCY_CODE                  | Default currency code used for this shipment                                | VARCHAR(10)    | Nullable              | N/A
             | CURRENCY_DTTM                  | Date and time of the currency rate used for this shipment                   | DATETIME       | Nullable              | N/A
             | CUST_FRGT_CHARGE               | Customer freight charge applied to the shipment                             | DECIMAL(10,2)  | Nullable              | N/A
             | CUSTOMER_CREDIT_LIMIT_ID       | Credit limit identifier for the customer on this shipment                   | VARCHAR(50)    | Nullable              | N/A
             | CUSTOMER_ID                    | Identifier for the customer associated with the shipment                    | VARCHAR(50)    | Nullable              | N/A
             | CYCLE_DEADLINE_DTTM            | Optimization cycle deadline date and time                                   | DATETIME       | Nullable              | N/A
             | CYCLE_EXECUTION_DTTM           | Date and time the optimization cycle was executed                           | DATETIME       | Nullable              | N/A
             | CYCLE_RESP_DEADLINE_TZ         | Timezone for the cycle response deadline                                    | VARCHAR(50)    | Nullable              | N/A
             | D_ADDRESS                      | Street address of the destination facility                                  | VARCHAR(300)   | Nullable              | N/A
             | D_CITY                         | City of the destination facility                                            | VARCHAR(100)   | Nullable              | N/A
             | D_COUNTRY_CODE                 | Country code of the destination facility                                    | VARCHAR(10)    | Nullable              | N/A
             | D_COUNTY                       | County of the destination facility                                          | VARCHAR(100)   | Nullable              | N/A
             | D_FACILITY_ID                  | Unique identifier for the destination facility (last stop)                  | VARCHAR(50)    | Nullable              | N/A
             | D_FACILITY_NUMBER              | Facility number of the destination (last stop)                              | VARCHAR(50)    | Nullable              | N/A
             | D_POSTAL_CODE                  | Postal code of the destination facility                                     | VARCHAR(20)    | Nullable              | N/A
             | D_STATE_PROV                   | State or province of the destination facility                               | VARCHAR(50)    | Nullable              | N/A
             | D_STOP_LOCATION_NAME           | Name of the destination stop location                                       | VARCHAR(200)   | Nullable              | N/A
             | D_TANDEM_FACILITY              | Tandem facility identifier at the destination                               | VARCHAR(50)    | Nullable              | N/A
             | D_TANDEM_FACILITY_ALIAS        | Alias for the tandem facility at the destination                            | VARCHAR(50)    | Nullable              | N/A
             | DAYS_TO_DELIVER                | Number of days planned or actual for delivery                               | INT            | Nullable              | N/A
             | DECLARED_VALUE                 | Declared monetary value of the shipment contents                            | DECIMAL(10,2)  | Nullable              | N/A
             | DELAY_TYPE                     | Type of delay associated with the shipment                                  | VARCHAR(50)    | Nullable              | N/A
             | DELIVERY_END_DTTM              | Planned delivery window end date and time                                   | DATETIME       | Nullable              | N/A
             | DELIVERY_REQ                   | Delivery requirements or special instructions                               | VARCHAR(200)   | Nullable              | N/A
             | DELIVERY_START_DTTM            | Planned delivery window start date and time                                 | DATETIME       | Nullable              | N/A
             | DELIVERY_TZ                    | Timezone for the delivery window                                            | VARCHAR(50)    | Nullable              | N/A
             | DESIGNATED_DRIVER_TYPE         | Type of driver designated for the shipment                                  | VARCHAR(50)    | Nullable              | N/A
             | DESIGNATED_TRACTOR_CODE        | Code for the tractor designated for the shipment                            | VARCHAR(50)    | Nullable              | N/A
             | DIRECT_DISTANCE                | Straight-line distance between origin and destination                       | DECIMAL(10,2)  | Nullable              | N/A
             | DISTANCE                       | Total route distance for the shipment                                       | DECIMAL(10,2)  | Nullable              | N/A
             | DISTANCE_UOM                   | Unit of measure for the shipment distance (e.g., miles, km)                 | VARCHAR(20)    | Nullable              | MI, KM
             | DOOR                           | Door number assigned to the shipment at the facility                        | VARCHAR(50)    | Nullable              | N/A
             | DRIVER_TYPE_ID                 | Identifier for the type of driver required                                  | VARCHAR(50)    | Nullable              | N/A
             | DROPOFF_PICKUP                 | Indicates whether the shipment is a drop-off or pickup                      | VARCHAR(20)    | Nullable              | DROPOFF, PICKUP
             | DSG_CARRIER_CODE               | Designated carrier code; for DC-to-Store used as Master Lane or Static Route reference | VARCHAR(50) | Nullable          | N/A
             | DSG_CARRIER_ID                 | Unique identifier for the designated carrier                                | VARCHAR(50)    | Nullable              | N/A
             | DSG_EQUIPMENT_ID               | Identifier for the designated equipment                                     | VARCHAR(50)    | Nullable              | N/A
             | DSG_MOT_ID                     | Identifier for the designated mode of transport                             | VARCHAR(50)    | Nullable              | N/A
             | DSG_SCNDR_CARRIER_CODE         | Code for the designated secondary carrier                                   | VARCHAR(50)    | Nullable              | N/A
             | DSG_SCNDR_CARRIER_ID           | Identifier for the designated secondary carrier                             | VARCHAR(50)    | Nullable              | N/A
             | DSG_SERVICE_LEVEL_ID           | Identifier for the designated service level                                 | VARCHAR(50)    | Nullable              | N/A
             | DSG_VOYAGE_FLIGHT              | Voyage or flight number for the designated booking                          | VARCHAR(100)   | Nullable              | N/A
             | DT_PARAM_SET_ID                | Date-time parameter set identifier used in scheduling                       | VARCHAR(50)    | Nullable              | N/A
             | DV_CURRENCY_CODE               | Currency code for the declared value                                        | VARCHAR(10)    | Nullable              | N/A
             | EARNED_INCOME                  | Income earned on the shipment                                               | DECIMAL(10,2)  | Nullable              | N/A
             | EARNED_INCOME_CURRENCY_CODE    | Currency code for the earned income amount                                  | VARCHAR(10)    | Nullable              | N/A
             | EQUIP_UTIL_PER                 | Equipment utilization percentage for the shipment                           | DECIMAL(5,2)   | Nullable              | 0.0 to 100.0
             | EQUIPMENT_TYPE                 | Type of equipment used or required for the shipment                         | VARCHAR(50)    | Nullable              | N/A
             | ESTIMATED_COST                 | Estimated cost of the shipment prior to execution                           | DECIMAL(10,2)  | Nullable              | N/A
             | ESTIMATED_DISPATCH_DTTM        | Estimated date and time for dispatch                                        | DATETIME       | Nullable              | N/A
             | ESTIMATED_SAVINGS              | Estimated cost savings achieved on the shipment                             | DECIMAL(10,2)  | Nullable              | N/A
             | EVENT_IND_TYPEID               | Event indicator type identifier for the shipment                            | VARCHAR(50)    | Nullable              | N/A
             | EXT_SYS_SHIPMENT_ID            | Shipment identifier from an external system                                 | VARCHAR(100)   | Nullable              | N/A
             | EXTRACTION_DTTM                | Date and time when the record was extracted from the source system          | DATETIME       | Nullable              | N/A
             | FACILITY_SCHEDULE_ID           | Identifier for the facility schedule linked to the shipment                 | VARCHAR(50)    | Nullable              | N/A
             | FEASIBLE_CARRIER_CODE          | Code of a carrier identified as feasible during optimization                | VARCHAR(50)    | Nullable              | N/A
             | FEASIBLE_CARRIER_ID            | Identifier for the feasible carrier identified during optimization          | VARCHAR(50)    | Nullable              | N/A
             | FEASIBLE_DRIVER_TYPE           | Driver type identified as feasible for the shipment                         | VARCHAR(50)    | Nullable              | N/A
             | FEASIBLE_EQUIPMENT_ID          | Primary equipment identifier identified as feasible                         | VARCHAR(50)    | Nullable              | N/A
             | FEASIBLE_EQUIPMENT2_ID         | Secondary equipment identifier identified as feasible                       | VARCHAR(50)    | Nullable              | N/A
             | FEASIBLE_MOT_ID                | Mode of transport identified as feasible for the shipment                   | VARCHAR(50)    | Nullable              | N/A
             | FEASIBLE_SERVICE_LEVEL_ID      | Service level identified as feasible for the shipment                       | VARCHAR(50)    | Nullable              | N/A
             | FEASIBLE_VOYAGE_FLIGHT         | Voyage or flight identified as feasible for the shipment                    | VARCHAR(100)   | Nullable              | N/A
             | FINANCIAL_WT                   | Financial weight used for cost calculation purposes                         | DECIMAL(10,3)  | Nullable              | N/A
             | FIRST_UPDATE_SENT_TO_PKMS      | Indicator whether the first update was sent to the warehouse system         | VARCHAR(1)     | Nullable              | Y, N
             | FRT_REV_ACCESSORIAL_CHARGE     | Freight revenue accessorial charge amount                                   | DECIMAL(10,2)  | Nullable              | N/A
             | FRT_REV_CM_DISCOUNT            | Freight revenue carrier management discount                                 | DECIMAL(10,2)  | Nullable              | N/A
             | FRT_REV_LINEHAUL_CHARGE        | Freight revenue linehaul charge amount                                      | DECIMAL(10,2)  | Nullable              | N/A
             | FRT_REV_RATING_LANE_DETAIL_ID  | Rating lane detail identifier for freight revenue                           | VARCHAR(50)    | Nullable              | N/A
             | FRT_REV_RATING_LANE_ID         | Rating lane identifier for freight revenue                                  | VARCHAR(50)    | Nullable              | N/A
             | FRT_REV_SPOT_CHARGE            | Spot charge amount for freight revenue                                      | DECIMAL(10,2)  | Nullable              | N/A
             | FRT_REV_SPOT_CHARGE_CURR_CODE  | Currency code for the freight revenue spot charge                           | VARCHAR(10)    | Nullable              | N/A
             | FRT_REV_STOP_CHARGE            | Stop charge amount for freight revenue                                      | DECIMAL(10,2)  | Nullable              | N/A
             | GRS_MAX_SHIPMENT_STATUS        | Maximum shipment status within a global routing session                     | VARCHAR(50)    | Nullable              | N/A
             | HAS_ALERTS                     | Indicates whether the shipment has active alerts                            | VARCHAR(1)     | Nullable              | Y, N
             | HAS_EM_NOTIFY_FLAG             | Flag indicating whether event management notifications are active           | VARCHAR(1)     | Nullable              | Y, N
             | HAS_IMPORT_ERROR               | Flag indicating whether an import error exists on the shipment              | VARCHAR(1)     | Nullable              | Y, N
             | HAS_NOTES                      | Indicates whether notes have been added to the shipment                     | VARCHAR(1)     | Nullable              | Y, N
             | HAS_SOFT_CHECK_ERROR           | Flag indicating a soft validation check error exists                        | VARCHAR(1)     | Nullable              | Y, N
             | HAS_TRACKING_MSG               | Indicates whether tracking messages exist for the shipment                  | VARCHAR(1)     | Nullable              | Y, N
             | HAULING_CARRIER                | Carrier physically hauling the shipment                                     | VARCHAR(100)   | Nullable              | N/A
             | HAZMAT_CERT_CONTACT            | Contact information for hazmat certification                                | VARCHAR(200)   | Nullable              | N/A
